,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
30,2.5,6.75,0.01,0.01,2.8036908324299743,6.977824030680722,0.01,0.01,False,0,0,0,0,0,0,True,0.021470105473092898,0.016982073808866162,0.3036908324299745,0.22782403068072177,0.4096826934909625,0.27027458068504473,True,0.016982073808866162,0.016982073808866162,0.22782403068072177,0.22782403068072177,0.4096826934909625,0.27027458068504473
31,1.5,6.75,0.01,0.01,1.8075758867883074,6.989633903226635,0.01,0.01,False,0,0,0,0,0,0,True,0.00388505435833316,0.011809872545913523,0.30757588678830766,0.2396339032266353,0.4135677478492956,0.28208445323095827,True,0.011809872545913523,0.011809872545913523,0.2396339032266353,0.2396339032266353,0.4135677478492956,0.28208445323095827
32,1.5,8.25,0.01,0.01,1.8075758867883076,8.489633903226636,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.30757588678830766,0.2396339032266353,0.4135677478492956,0.28208445323095827,True,0.0,0.0,0.2396339032266353,0.2396339032266353,0.4135677478492956,0.28208445323095827
33,2.5,8.25,0.01,0.01,2.8416114434758764,8.503545475922243,0.01,0.01,False,0,0,0,0,0,0,True,0.03403555668756874,0.013911572695606078,0.3416114434758764,0.25354547592224136,0.44760330453686437,0.2959960259265643,True,0.013911572695606078,0.013911572695606078,0.25354547592224136,0.25354547592224136,0.44760330453686437,0.2959960259265643
34,3.5,8.25,0.01,0.01,3.846447923037394,8.502864536307316,0.01,0.01,False,0,0,0,0,0,0,True,0.004836479561517865,-0.000680939614927949,0.34644792303739425,0.2528645363073134,0.45243978409838226,0.29667696554149225,True,-0.000680939614927949,-0.000680939614927949,0.2528645363073134,0.2528645363073134,0.45243978409838226,0.29667696554149225
35,4.5,8.25,0.01,0.01,4.862224408822514,8.501616547181081,0.01,0.01,False,0,0,0,0,0,0,True,0.015776485785119997,-0.0012479891262335892,0.3622244088225142,0.25161654718107984,0.46821626988350223,0.29792495466772584,True,-0.0012479891262335892,-0.0012479891262335892,0.25161654718107984,0.25161654718107984,0.46821626988350223,0.29792495466772584
36,5.5,8.25,0.01,0.01,5.8902515796696,8.513457233301557,0.01,0.01,False,0,0,0,0,0,0,True,0.02802717084708571,0.011840686120475761,0.39025157966959995,0.2634572333015556,0.49624344073058796,0.3097656407882016,True,0.011840686120475761,0.011840686120475761,0.2634572333015556,0.2634572333015556,0.49624344073058796,0.3097656407882016
37,6.5,8.25,0.01,0.01,6.881270323703691,8.522212248786376,0.01,0.01,False,0,0,0,0,0,0,True,-0.00898125596590797,0.008755015484820317,0.38127032370369196,0.27221224878637595,0.505224696696496,0.31852065627302195,True,0.008755015484820317,0.008755015484820317,0.27221224878637595,0.27221224878637595,0.505224696696496,0.31852065627302195
38,7.5,8.25,0.01,0.01,7.885537132470698,8.524175026058963,0.01,0.01,False,0,0,0,0,0,0,True,0.004266808767006424,0.001962777272585878,0.3855371324706984,0.2741750260589618,0.5094915054635024,0.3204834335456078,True,0.001962777272585878,0.001962777272585878,0.2741750260589618,0.2741750260589618,0.5094915054635024,0.3204834335456078
39,8.5,8.25,0.01,0.01,8.882227098304929,8.545012572408263,0.01,0.01,False,0,0,0,0,0,0,True,-0.003310034165769386,0.020837546349300018,0.382227098304929,0.29501257240826184,0.5128015396292718,0.34132097989490784,True,0.020837546349300018,0.020837546349300018,0.29501257240826184,0.29501257240826184,0.5128015396292718,0.34132097989490784
40,8.5,9.25,0.01,0.01,8.882227098304929,9.545012572408261,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.382227098304929,0.29501257240826184,0.5128015396292718,0.34132097989490784,True,0.0,0.0,0.29501257240826184,0.29501257240826184,0.5128015396292718,0.34132097989490784
41,7.5,9.25,0.01,0.01,7.909579028109797,9.561318283876552,0.01,0.01,False,0,0,0,0,0,0,True,0.027351929804868502,0.016305711468292076,0.4095790281097975,0.3113182838765539,0.5401534694341403,0.3576266913631999,True,0.016305711468292076,0.016305711468292076,0.3113182838765539,0.3113182838765539,0.5401534694341403,0.3576266913631999
42,6.5,9.25,0.01,0.01,6.908479528184464,9.562875277120419,0.01,0.01,False,0,0,0,0,0,0,True,-0.0010994999253328593,0.0015569932438658004,0.40847952818446465,0.31287527712041974,0.5412529693594732,0.35918368460706573,True,0.0015569932438658004,0.0015569932438658004,0.31287527712041974,0.31287527712041974,0.5412529693594732,0.35918368460706573
43,5.5,9.25,0.01,0.01,5.922072483986713,9.559556152083392,0.01,0.01,False,0,0,0,0,0,0,True,0.01359295580224873,-0.00331912503702746,0.4220724839867134,0.30955615208339227,0.5548459251617219,0.3625028096440932,True,-0.00331912503702746,-0.00331912503702746,0.30955615208339227,0.30955615208339227,0.5548459251617219,0.3625028096440932
44,4.5,9.25,0.01,0.01,4.944408699549754,9.565437162672733,0.01,0.01,False,0,0,0,0,0,0,True,0.022336215563041495,0.005881010589341063,0.44440869954975487,0.3154371626727333,0.5771821407247635,0.36838382023343424,True,0.005881010589341063,0.005881010589341063,0.3154371626727333,0.3154371626727333,0.5771821407247635,0.36838382023343424
45,3.5,9.25,0.01,0.01,3.940202035763395,9.587511026540216,0.01,0.01,False,0,0,0,0,0,0,True,-0.004206663786359269,0.022073863867482453,0.4402020357633956,0.33751102654021575,0.5813888045111227,0.3904576841009167,True,0.022073863867482453,0.022073863867482453,0.33751102654021575,0.33751102654021575,0.5813888045111227,0.3904576841009167
46,2.5,9.25,0.01,0.01,2.9534820448625343,9.603935717965195,0.01,0.01,False,0,0,0,0,0,0,True,0.013280009099139114,0.016424691424977635,0.45348204486253474,0.3539357179651934,0.5946688136102618,0.40688237552589435,True,0.016424691424977635,0.016424691424977635,0.3539357179651934,0.3539357179651934,0.5946688136102618,0.40688237552589435
47,1.5,9.25,0.01,0.01,1.9499118203998527,9.611110412370877,0.01,0.01,False,0,0,0,0,0,0,True,-0.003570224462681579,0.007174694405682587,0.44991182039985317,0.361110412370876,0.5982390380729434,0.4140570699315769,True,0.007174694405682587,0.007174694405682587,0.361110412370876,0.361110412370876,0.5982390380729434,0.4140570699315769
